Condition,Method,RMSE,MAE,Rel_Error,Crash_F1,Tamper_F1
Random,Mean Imputation,1.0128430102205934,0.7858492841248157,1.000644832030484,—,—
Random,Standard RPCA,0.9803300381340146,0.7533112799380494,0.9685234300322614,—,—
Random,Path1 MCDD,0.9781724714794864,0.7569686149774697,0.9663918480389717,—,—
Random,Path2 MCDD-MNAR,0.22980716578905544,0.08204310216348533,0.22703948241722838,—,—
Structured,Mean Imputation,1.0710440645351624,0.786225560339287,1.2273824491049186,—,—
Structured,Standard RPCA,0.8684152663219217,0.6914099708062854,0.9951762879904436,—,—
Structured,Path1 MCDD,0.8674801915011032,0.6911623418913325,0.99410472197213,1.000,—
Structured,Path2 MCDD-MNAR,0.5989541421960322,0.45641815237613476,0.6863824060022757,1.000,—
Adversarial,Mean Imputation,1.1456801509922632,0.8569596746217312,1.3129130314783717,—,—
Adversarial,Standard RPCA,0.8684142460203772,0.6914244610652555,0.9951751187573098,—,—
Adversarial,Path1 MCDD,0.8675134688531111,0.6911029563618972,0.9941428567596328,1.000,0.795
Adversarial,Path2 MCDD-MNAR,0.5649018966094206,0.41972059343681756,0.6473596150924016,1.000,0.707
